Theta1,Theta2,Omega1,Omega2
24,-45,-6.609271985695496,42.89842956664056
24,-46,-6.241216503857927,41.91324437851896
24,-47,-5.885363342133251,40.97140905739138
24,-48,-5.540909161024657,40.07026135364653
24,-49,-5.207114749248922,39.20735812956902
24,-50,-4.883298563239622,38.38045351231356
24,-51,-4.5688310244078565,37.58747962026012
24,-52,-4.263129472035892,36.82652951649764
24,-53,-3.9656536850865645,36.095842095459076
24,-54,-3.6759018990504706,35.393788652293296
24,-55,-3.393407254690638,34.71886092099519
24,-56,-3.117734624555601,34.06966039789541
24,-57,-2.8484777707198385,33.444888792864226
24,-58,-2.5852567936201685,32.843339472341626
24,-59,-2.3277158372881823,32.26388977674541
24,-60,-2.0755210208945454,31.705494110483663
24,-61,-1.828358570455102,31.16717771616155
24,-62,-1.5859331279108908,30.648031055996352
24,-63,-1.3479662176749667,30.147204733249094
25,-39,-9.403572100893287,50.4451607899871
25,-40,-8.937742415492922,49.11945757911049
25,-41,-8.490898295033425,47.85977746871037
25,-42,-8.06164597663236,46.6614475664512
25,-43,-7.6487199702174555,45.520231333910736
25,-44,-7.250968441115199,44.43227905580049
25,-45,-6.867340539675903,43.39408491594448
25,-46,-6.496875381553183,42.402449674769876
25,-47,-6.13869243269825,41.45444811417613
25,-48,-5.791983094113405,40.54740055468047
25,-49,-5.456003314864928,39.678847863231745
25,-50,-5.130067089289091,38.84652946315111
25,-51,-4.81354071691682,38.04836393430179
25,-52,-4.505837722323681,37.28243185496849
25,-53,-4.206414347620351,36.54696058954443
25,-54,-3.9147655432219524,35.840310769972405
25,-55,-3.6304213933424667,35.16096425555992
25,-56,-3.3529439217308514,34.50751338656931
25,-57,-3.081924230803072,33.87865137290527
25,-58,-2.8169799337759147,33.273163681121964
25,-59,-2.5577528448754645,32.689920301532915
25,-60,-2.3039068973391252,32.12786879298347
25,-61,-2.0551262628899485,31.586028016296947
25,-62,-1.8111136497460776,31.063482478904692
25,-63,-1.5715887591279978,30.55937722302788
25,-64,-1.3362868827172214,30.072913198252525
26,-39,-9.675273055762942,50.97131350480903
26,-40,-9.206555295434825,49.6373911307383
26,-41,-8.756940807733049,48.36990119057023
26,-42,-8.32502718865213,47.164141820730194
26,-43,-7.909541102269113,46.01585021688635
26,-44,-7.509323572706434,44.92115279608666
26,-45,-7.123317235202505,43.87652200661507
26,-46,-6.750555248070569,42.8787387740881
26,-47,-6.390151618081401,41.924859744487065
26,-48,-6.041292733043491,41.012188624713986
26,-49,-5.703229929017735,40.1382510354577
26,-50,-5.3752729472070895,39.30077238479939
26,-51,-5.0567841582936,38.497658348106306
26,-52,-4.747173450792222,37.7269776035333
26,-53,-4.445893695595406,36.98694652539587
26,-54,-4.1524367118857874,36.27591558179811
26,-55,-3.866329670469204,35.59235721980049
26,-56,-3.587131879706851,34.93485505238388
26,-57,-3.3144319069103374,34.302094187548256
26,-58,-3.0478449945551387,33.69285256192066
26,-59,-2.7870107361686878,33.105993159922214
26,-60,-2.531590981424333,32.54045701541928
26,-61,-2.281267943956666,31.995256906317877
26,-62,-2.0357424888188986,31.46947166413123
26,-63,-1.7947325794206797,30.96224103046921
26,-64,-1.5579718662912156,30.472761000923786
26,-65,-1.3252084021709314,30.000279604171602
27,-39,-9.944026828733337,51.481939863767224
27,-40,-9.472563769447836,50.14020465217949
27,-41,-9.020315871432253,48.865290971957705
27,-42,-8.585872516743883,47.65246942052128
27,-43,-8.167952911479574,46.497452226120345
27,-44,-7.765391291592977,45.396343118070156
27,-45,-7.377124099294141,44.34559388364103
27,-46,-7.0021788300652945,43.34196659420006
27,-47,-6.639664301378886,42.382500656384565
27,-48,-6.288762135683769,41.464483984798406
27,-49,-5.948719284085738,40.58542770759028
27,-50,-5.618841444913929,39.74304391046414
27,-51,-5.2984872542295935,38.9352260022428
27,-52,-4.987063144240745,38.16003134925063
27,-53,-4.6840187812824405,37.41566587903507
27,-54,-4.388843008101628,36.70047039832491
27,-55,-4.101060226124342,36.012908407241014
27,-56,-3.8202271625629636,35.351555222927956
27,-57,-3.5459299749511364,34.71508825200987
27,-58,-3.2777816522238807,34.102278273439005
27,-59,-3.0154196769932926,33.51198161209004
27,-60,-2.7585039183725257,32.9431330994217
27,-61,-2.506714728708513,32.39473973114011
27,-62,-2.259751221008947,31.865874943437277
27,-63,-2.0173297067837015,31.355673439354693
27,-64,-1.779182276542331,30.863326505397904
27,-65,-1.545055507359911,30.388077765916954
28,-39,-10.209751554801754,51.97688432512616
28,-40,-9.735686808773886,50.62774498156456
28,-41,-9.280943259535249,49.34579591234639
28,-42,-8.844102504893828,48.12628161650706
28,-43,-8.423876683108462,46.964890660975314
28,-44,-8.019093597067059,45.85770527417564
28,-45,-7.628683819921324,44.8011576631846
28,-46,-7.251669480556756,43.79199203142439
28,-47,-6.887154478610311,42.82723144801364
28,-48,-6.5343159204569154,41.90414886138559
28,-49,-6.192396601633265,41.02024166528326
28,-50,-5.86069838908571,40.173209319954246
28,-51,-5.538576379620348,39.36093360936499
28,-52,-5.225433729944772,38.58146117975446
28,-53,-4.920717069473587,37.83298805839382
28,-54,-4.623912420221516,37.11384589604293
28,-55,-4.334541559106741,36.42248971391581
28,-56,-4.052158767217987,35.75748696729292
28,-57,-3.7763479183713655,35.11750776429731
28,-58,-3.506719865848775,34.501316100639066
28,-59,-3.242910091773262,33.907761990020965
28,-60,-2.9845765883049555,33.33577438595476
28,-61,-2.7313979438709093,32.78435480442537
28,-62,-2.483071611086375,32.25257156854388
28,-63,-2.239312335975733,31.739554606361327
28,-64,-1.9998507306366808,31.244490741638707
28,-65,-1.7644319736740577,30.766619424798876
28,-66,-1.5328146246138676,30.30522885770424
29,-39,-10.472366291642487,52.455996124008266
29,-40,-9.995844263586271,51.09986360938626
29,-41,-9.538743582414877,49.81126964527673
29,-42,-9.099638493746035,48.58543408090267
29,-43,-8.67723446029575,47.41802313517586
29,-44,-8.270353208948775,46.30509872902104
29,-45,-7.87791976955624,45.24307457610542
29,-46,-7.498951202275942,44.228678003653386
29,-47,-7.132546761870183,43.25891665006696
29,-48,-6.777879289301355,42.33104932829499
