Theta1,Theta2,Omega1,Omega2
25,-39,-9.403572100893287,50.4451607899871
26,-39,-9.675273055762942,50.97131350480903
27,-39,-9.944026828733337,51.481939863767224
27,-40,-9.472563769447836,50.14020465217949
28,-39,-10.209751554801754,51.97688432512616
28,-40,-9.735686808773886,50.62774498156456
29,-39,-10.472366291642487,52.455996124008266
29,-40,-9.995844263586271,51.09986360938626
30,-39,-10.7317910442627,52.91912931831836
30,-40,-10.252956887404041,51.55641672373705
30,-41,-9.793638311595423,50.26157038294053
31,-39,-10.987946789369634,53.36614283319897
31,-40,-10.506946361231293,51.99726525411558
31,-41,-10.045549803673145,50.696560959370906
32,-39,-11.2407554994419,53.79690050400316
32,-40,-10.757735317413836,52.42227491378887
32,-41,-10.294401323967246,51.11610887222444
33,-39,-11.490140166497385,54.211271117771545
33,-40,-11.00524736320617,52.83131624069745
33,-41,-10.540117069893961,51.520086323142635
33,-42,-10.093298486810633,50.27271724430274
34,-39,-11.736024825550674,54.609128453201095
34,-40,-11.249407104041449,53.22426463689064
34,-41,-10.78262219405678,51.90837025668051
34,-42,-10.33421413488951,50.65656388853859
35,-39,-11.978334577752667,54.99035131909329
35,-40,-11.490140166497385,53.60100040648044
35,-41,-11.021842827045683,52.28084239779056
35,-42,-10.571981881233125,51.02498005269285
36,-39,-12.216995613205555,55.3548235912702
36,-40,-11.727373220951113,53.96140879210185
36,-41,-11.25770609993848,52.637389287850304
36,-42,-10.80652929948263,51.377853513632985
36,-43,-10.372512693367941,50.17834854568356
37,-39,-12.45193523344596,55.702434247946975
37,-40,-11.961034003916133,54.305380009869296
37,-41,-11.490140166497383,52.97790231922315
37,-42,-11.037784944222308,51.71507678268442
37,-43,-10.602634736738853,50.51243884596293
38,-39,-12.683081873589648,56.03307740355024
38,-40,-12.191051340054418,54.63280928281769
38,-41,-11.719074225054092,53.302277768341106
38,-42,-11.265678372742551,52.03654713837265
38,-43,-10.829527114858923,50.83114256804484
39,-39,-12.91036512413088,56.34665234097178
39,-40,-12.417355163857156,54.943596872818645
39,-41,-11.944438540076618,53.61041682730004
39,-42,-11.490140166497385,52.34216665771318
39,-43,-11.053120714111827,51.134362631688205
40,-39,-13.13371575238978,56.643063542247965
40,-40,-12.639876540987359,55.23764811096156
40,-41,-12.166164463411473,53.90222563395765
40,-42,-11.711101952250015,52.631842246039824
40,-43,-11.273347425721228,51.42200667312426
40,-44,-10.851679791342914,50.26863772326081
41,-39,-13.35306572360134,56.92222071765551
41,-40,-12.858547689277945,55.51487342639075
41,-41,-12.384184455194482,54.177615300524536
41,-42,-11.928496422899997,52.905485665362214
41,-43,-11.490140166497385,51.693987073191515
41,-44,-11.067892915011642,50.53903272212576
42,-39,-13.568348221639438,57.18403883321454
42,-40,-13.073301999378831,55.77518837358962
42,-41,-12.598432104424155,54.43650194064055
42,-42,-12.14225735798562,53.16301356124397
42,-43,-11.703432899271338,51.950220984025364
42,-44,-11.280734651281367,50.79403304204093
43,-39,-13.779497669369682,57.42843813659073
43,-40,-13.28407405504679,56.01851365810353
43,-41,-12.808842149191069,54.67880669492721
43,-42,-12.35231964385532,53.404347488193324
43,-43,-11.913160653010474,52.19063035429441
43,-44,-11.490140166497389,51.03356100743867
44,-39,-13.986449748624853,57.655344181388756
44,-40,-13.490799653071859,56.244775160693635
44,-41,-13.01535049655729,54.904455755009074
44,-42,-12.558619293501888,53.62941393355822
44,-43,-12.11925954260932,52.41514195297554
44,-44,-11.696045673711197,51.25754365578031
44,-45,-11.287859566289214,50.1528887985444
45,-39,-14.189141419796801,57.86468784982925
45,-40,-13.693415822834293,56.453903959914406
45,-41,-13.217894242079737,55.1133803859966
45,-42,-12.761093466053579,53.83814433991916
45,-43,-12.321666788349589,52.6236873916609
45,-44,-11.898388452110662,51.46591275978144
45,-45,-11.490140166497385,50.36108963263194
46,-39,-14.387510941038986,58.056405373802875
46,-40,-13.891860845485995,56.64583635310777
46,-41,-13.416411688971433,55.30551694742323
46,-42,-12.959680485916028,54.03047512597238
46,-43,-12.520320735023457,52.81620314538967
46,-44,-12.097106866125337,51.65860484819445
46,-45,-11.68892075870335,50.55394999095854
47,-39,-14.581497887073589,58.23043835429464
47,-40,-14.086074272750684,56.82051387580742
47,-41,-13.610842366894964,55.480806912631095
47,-42,-13.15431986155922,54.20634770589723
47,-43,-12.715160870714374,52.99263057199831
47,-44,-12.29214038420129,51.83556122514257
47,-45,-11.8841407924131,50.73141112639078
48,-39,-14.771043167597636,58.386733779172715
48,-40,-14.275996945337026,56.97788331954782
48,-41,-13.801127050382354,55.639196886598754
48,-42,-13.344952303943819,54.36570850720218
48,-43,-12.90612784522954,53.15291592998358
48,-44,-12.483429597239565,51.996727987999144
48,-45,-12.07574080171323,50.893418982547736
49,-39,-14.956089045282532,58.52524403933671
49,-40,-14.46157101095913,57.11789674807193
49,-41,-13.98720777687567,55.78063862220571
49,-42,-13.531519744581178,54.50850898704338
49,-43,-13.09316348817857,53.29701039487269
49,-44,-12.670916236692829,52.14205604380694
49,-45,-12.263662423384817,51.039924210266946
50,-39,-15.136579153361339,58.645926943219536
50,-40,-14.642739941958919,57.24051151193312
50,-41,-14.169027864383029,55.90508903492918
50,-42,-13.713965353221571,54.63470564701138
50,-43,-13.276210826692786,53.424870074095814
50,-44,-12.854543192314473,52.27150112423238
50,-45,-12.447848414681484,51.17088218263689
50,-46,-12.05510783314864,50.11962164504441
